channel,longitude,latitude,elevation
751,18.051744,42.665296,0.0
752,18.051672,42.665336,0.0
753,18.051603,42.665378,0.0
754,18.051533,42.66542,0.0
755,18.051463,42.665461,0.0
756,18.051393,42.665503,0.0
757,18.051323,42.665544,0.0
758,18.051252,42.665585,0.0
759,18.051181,42.665625,0.0
760,18.051107,42.665663,0.0
761,18.051037,42.665704,0.0
762,18.050965,42.665743,0.0
763,18.050888,42.665777,0.0
764,18.050813,42.665814,0.0
765,18.050739,42.66585,0.0
766,18.050667,42.665891,0.0
767,18.050597,42.665932,0.0
768,18.050524,42.665971,0.0
769,18.050452,42.66601,0.0
770,18.050376,42.666045,0.0
771,18.050302,42.666083,0.0
772,18.050225,42.666117,0.0
773,18.050158,42.66616,0.0
774,18.050085,42.666199,0.0
775,18.050012,42.666238,0.0
776,18.049939,42.666276,0.0
777,18.049867,42.666316,0.0
778,18.049795,42.666356,0.0
779,18.049724,42.666396,0.0
780,18.04965,42.666433,0.0
781,18.049575,42.66647,0.0
782,18.049496,42.666502,0.0
783,18.049419,42.666535,0.0
784,18.049338,42.666565,0.0
785,18.049261,42.666599,0.0
786,18.049184,42.666633,0.0
787,18.04911,42.666671,0.0
788,18.049035,42.666707,0.0
789,18.048961,42.666744,0.0
790,18.048887,42.666782,0.0
791,18.048811,42.666817,0.0
792,18.048734,42.666851,0.0
793,18.048655,42.666883,0.0
794,18.048576,42.666915,0.0
795,18.048498,42.666948,0.0
796,18.048424,42.666986,0.0
797,18.048348,42.66702,0.0
798,18.048273,42.667057,0.0
799,18.048195,42.667089,0.0
800,18.048115,42.66712,0.0
801,18.048038,42.667153,0.0
802,18.04796,42.667187,0.0
803,18.047882,42.667219,0.0
804,18.047804,42.667252,0.0
805,18.047725,42.667284,0.0
806,18.047647,42.667317,0.0
807,18.047572,42.667353,0.0
808,18.047497,42.667389,0.0
809,18.047416,42.667417,0.0
810,18.047339,42.667451,0.0
811,18.04727,42.667494,0.0
812,18.047194,42.667529,0.0
813,18.047116,42.667561,0.0
814,18.04704,42.667597,0.0
815,18.046973,42.66764,0.0
816,18.046901,42.667679,0.0
817,18.046824,42.667712,0.0
818,18.046748,42.667748,0.0
819,18.046673,42.667784,0.0
820,18.046599,42.667821,0.0
821,18.046522,42.667856,0.0
822,18.046448,42.667893,0.0
823,18.04637,42.667926,0.0
824,18.046293,42.667959,0.0
825,18.046208,42.667977,0.0
826,18.046138,42.668018,0.0
827,18.046064,42.668056,0.0
828,18.045986,42.668088,0.0
